"genus","species","english_common_name","aou","binomial","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","Scientific","migclass","Foraging","Coarse.trophic","Trophic.guild"
"Crotophaga","ani","Smooth-billed Ani",3830,"Crotophaga ani",1879,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Smooth-billed Ani",40,20,20,0,0,0,10,0,10,0,"Omnivore","Ref_4","A","Carolina",0,0,40,30,30,0,0,0,"Ref_4",1,"Other",0,110.09,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: ground gleaner"
"Crotophaga","sulcirostris","Groove-billed Ani",3840,"Crotophaga sulcirostris",1880,"Nonpasseriformes","Cuculiformes","Cuculidae","Cuckoos",67,"BL3","Groove-billed Ani",60,0,20,0,0,0,10,0,10,0,"Invertebrate","Ref_4","A","Carolina",0,0,90,10,0,0,0,0,"Ref_4",1,"Other",0,82.04,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: ground gleaner"
"Cypseloides","niger","Black Swift",4220,"Cypseloides niger",2330,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","American Black Swift",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,0,0,0,100,0,"Ref_5",1,"Christian",0,39.67,"Dunning08",1,"","",NA,"neotrop","aerial foraging","insectivore","Insectivore: air hawker above canopy"
"Chaetura","pelagica","Chimney Swift",4230,"Chaetura pelagica",2399,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","Chimney Swift",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,0,10,30,60,0,"Ref_5",1,"Christian",0,23.6,"Dunning08",1,"","",NA,"neotrop","aerial foraging","insectivore","Insectivore: air hawker above canopy"
"Chaetura","vauxi","Vaux's Swift",4240,"Chaetura vauxi",2400,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","Vaux's Swift",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,0,0,0,0,100,0,"Ref_5",1,"Christian",0,17.1,"Dunning08",1,"","",NA,"neotrop","aerial foraging","insectivore","Insectivore: air hawker above canopy"
"Aeronautes","saxatalis","White-throated Swift",4250,"Aeronautes saxatalis",2408,"Nonpasseriformes","Apodiformes","Apodidae","Swifts",77,"BL3","White-throated Swift",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_5","A","Hamish",0,0,10,0,0,0,90,0,"Ref_5",1,"Christian",0,32.1,"Dunning08",1,"","",NA,"neotrop","aerial foraging","insectivore","Insectivore: air hawker above canopy"
"Eugenes","fulgens","Magnificent Hummingbird",4260,"Eugenes fulgens",2679,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Magnificent Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,60,30,0,10,0,"Ref_5",1,"Christian",0,8,"Dunning08",1,"","",NA,NA,NA,NA,"Nectarivore"
"Lampornis","clemenciae","Blue-throated Hummingbird",4270,"Lampornis clemenciae",2655,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Blue-throated Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,70,30,0,0,0,"Ref_5",1,"Christian",0,7.55,"Dunning08",1,"","",NA,NA,NA,NA,"Nectarivore"
"Calothorax","lucifer","Lucifer Hummingbird",4370,"Calothorax lucifer",2789,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Lucifer Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,60,40,0,0,0,"Ref_5",1,"Christian",0,3.3,"Dunning08",1,"","",NA,NA,NA,NA,"Nectarivore"
"Archilochus","colubris","Ruby-throated Hummingbird",4280,"Archilochus colubris",2791,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Ruby-throated Hummingbird",40,0,0,0,0,0,0,60,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,40,40,0,20,0,"Ref_5",1,"Christian",0,3.09,"Dunning08",1,"","",NA,"neotrop","hover/glean","nectarivore","Nectarivore"
"Archilochus","alexandri","Black-chinned Hummingbird",4290,"Archilochus alexandri",2792,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Black-chinned Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,50,40,0,10,0,"Ref_5",1,"Christian",0,3.39,"Dunning08",1,"","",NA,"neotrop","hover/glean","nectarivore","Nectarivore"
"Calypte","anna","Anna's Hummingbird",4310,"Calypte anna",2793,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Anna's Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,20,80,0,0,0,"Ref_5",1,"Christian",0,4.24,"Dunning08",1,"","",NA,"resid","hover/glean","nectarivore","Nectarivore"
"Calypte","costae","Costa's Hummingbird",4300,"Calypte costae",2794,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Costa's Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,70,30,0,0,0,"Ref_5",1,"Christian",0,3.09,"Dunning08",1,"","",NA,NA,NA,NA,"Nectarivore"
"Selasphorus","platycercus","Broad-tailed Hummingbird",4320,"Selasphorus platycercus",2812,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Broad-tailed Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,80,20,0,0,0,"Ref_5",1,"Christian",0,3.54,"Dunning08",1,"","",NA,"neotrop","hover/glean","nectarivore","Nectarivore"
"Selasphorus","rufus","Rufous Hummingbird",4330,"Selasphorus rufus",2813,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Rufous Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,60,40,0,0,0,"Ref_5",1,"Christian",0,3.5,"Dunning08",1,"","",NA,"neotrop","hover/glean","nectarivore","Nectarivore"
"Selasphorus","sasin","Allen's Hummingbird",4340,"Selasphorus sasin",2814,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Allen's Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,40,60,0,0,0,"Ref_5",1,"Christian",0,3.36,"Dunning08",1,"","",NA,NA,NA,NA,"Nectarivore"
"Cynanthus","latirostris","Broad-billed Hummingbird",4410,"Cynanthus latirostris",2573,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Broad-billed Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,50,50,0,0,0,"Ref_5",1,"Christian",0,3.1,"Dunning08",1,"","",NA,NA,NA,NA,"Nectarivore"
"Amazilia","yucatanensis","Buff-bellied Hummingbird",4390,"Amazilia yucatanensis",2638,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Buff-bellied Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,60,40,0,0,0,"Ref_5",1,"Christian",0,3.89,"Dunning08",1,"","",NA,NA,NA,NA,"Nectarivore"
"Amazilia","violiceps","Violet-crowned Hummingbird",4391,"Amazilia violiceps",2644,"Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds",79,"BL3","Violet-crowned Hummingbird",10,0,0,0,0,0,0,90,0,0,"FruiNect","Ref_5","A","Hamish",0,0,0,10,80,0,10,0,"Ref_5",1,"Christian",0,5.1,"Dunning08",1,"","",NA,NA,NA,NA,"Nectarivore"
"Porphyrio","porphyrio","Purple Swamphen",21930,"Porphyrio porphyrio",3913,"Nonpasseriformes","Gruiformes","Rallidae","Rails, crakes and allies",42,"BL3","Purple Swamphen",10,10,10,0,0,0,0,0,30,40,"PlantSeed","Ref_3","A","Carolina",0,20,60,20,0,0,0,0,"Ref_3",1,"Jessica",0,773.88,"Dunning08",1,"","",NA,NA,NA,NA,NA
