"aou","max_lat_t1","max_lon_t1","min_lat_t1","min_lon_t1","total_cells_t1","area_t1","outlier_t1","outlier_denom_t1","max_lat_t2","max_lon_t2","min_lat_t2","min_lon_t2","total_cells_t2","area_t2","outlier_t2","outlier_denom_t2","file","spp_name","file_binomial","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","overlap_cells","delta_area","delta_occ"
6360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mniotilta_varia_22721758.shp","Mniotilta_varia","Mniotilta varia","Black-and-white Warbler","Parulidae","Mniotilta","varia","Mniotilta varia",NA,NA,"Mniotilta_varia","bawwar",0.582508114226756,745,NA,NA
6390,39,-75,31,-96,18,854350807064.471,0.00681078433990479,1754178402752.17,42,-73,34,-93,19,649427686363.187,0.0057978630065918,1754178402683.7,"Helmitheros_vermivorum_22721768.shp","Helmitheros_vermivorum","Helmitheros vermivorum","Worm-eating Warbler","Parulidae","Helmitheros","vermivorum","Helmitheros vermivorum",NA,NA,"Helmitheros_vermivorum","woewar1",0.641070032124495,300,-0.239858286557245,0.00333333333333333
6670,48,-62,34,-93,30,2459397268573.42,3581953829887.67,13676704544946.1,48,-62,35,-95,41,2943839057496.98,4776150105722.02,16290409784956.1,"Dendroica_virens_22721689.shp","Dendroica_virens","Dendroica virens","Black-throated Green Warbler","Parulidae","Setophaga","virens","Setophaga virens","Dendroica","Dendroica virens","Dendroica_virens","btnwar",0.648229516754302,3325,0.196975818064789,0.00330827067669173
6760,44,-71,31,-97,28,3971050760460.36,8149442621538.69,60331168071998.8,42,-72,32,-95,30,1644381211644.2,3289323175870.46,21050472279044,"Parkesia_motacilla_22721803.shp","Parkesia_motacilla","Parkesia motacilla","Louisiana Waterthrush","Parulidae","Parkesia","motacilla","Parkesia motacilla",NA,NA,"Parkesia_motacilla","louwat",0.574122776713181,240,-0.585907783396462,0.00833333333333333
4900,40,-74,27,-93,38,365417379926.72,0.00405114889144897,948945650323.727,42,-70,27,-97,64,2535078663751.42,336600443946.136,4132385151517.19,"Corvus_ossifragus_22705993.shp","Corvus_ossifragus","Corvus ossifragus","Fish Crow","Corvidae","Corvus","ossifragus","Corvus ossifragus",NA,NA,"Corvus_ossifragus","fiscro",0.977300652111854,62,5.93748793300362,0.419354838709677
5070,53,-65,30,-113,195,3157426399889.27,168455164569.652,4554788297158.86,NA,NA,NA,NA,NA,NA,NA,NA,"Icterus_galbula_22724126.shp","Icterus_galbula","Icterus galbula","Baltimore Oriole","Icteridae","Icterus","galbula","Icterus galbula",NA,NA,"Icterus_galbula","balori",0.650881750512744,357,NA,NA
6870,NA,NA,NA,NA,NA,NA,NA,NA,54,-62,31,-129,97,2608423958010.14,0.0013575553894043,4867238799535.71,"Setophaga_ruticilla_22721762.shp","Setophaga_ruticilla","Setophaga ruticilla","American Redstart","Parulidae","Setophaga","ruticilla","Setophaga ruticilla",NA,NA,"Setophaga_ruticilla","amered",0.547252208278255,754,NA,NA
6380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Limnothlypis_swainsonii_22721776.shp","Limnothlypis_swainsonii","Limnothlypis swainsonii","Swainson's Warbler","Parulidae","Limnothlypis","swainsonii","Limnothlypis swainsonii",NA,NA,"Limnothlypis_swainsonii","swawar",0.709640849968728,194,NA,NA
5750,NA,NA,NA,NA,NA,NA,NA,NA,31,-81,28,-85,5,35873098826.5948,35873098826.5965,1529267289295.39,"Peucaea_aestivalis_22721256.shp","Peucaea_aestivalis","Peucaea aestivalis","Bachman's Sparrow","Emberizidae","Peucaea","aestivalis","Peucaea aestivalis",NA,NA,"Peucaea_aestivalis","bacspa",0.980109483835044,61,NA,NA
3000,53,-62,44,-113,6,1219388554654.58,0.00750582059845328,4281528468543.31,NA,NA,NA,NA,NA,NA,NA,NA,"Bonasa_umbellus_22679500.shp","Bonasa_umbellus","Bonasa umbellus","Ruffed Grouse","Phasianidae","Bonasa","umbellus","Bonasa umbellus",NA,NA,"Bonasa_umbellus",NA,0.530466305953772,135,NA,NA
