"file","spp_name","file_binomial","aou","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","range_excl"
"Empidonax_difficilis_22699871.shp","Empidonax_difficilis","Empidonax difficilis",4641,"Pacific-slope Flycatcher","Tyrannidae","Empidonax","difficilis","Empidonax difficilis",NA,NA,"Empidonax_difficilis",NA,10,0.906542056074766
"Empidonax_occidentalis_22699874.shp","Empidonax_occidentalis","Empidonax occidentalis",4640,"Cordilleran Flycatcher","Tyrannidae","Empidonax","occidentalis","Empidonax occidentalis",NA,NA,"Empidonax_occidentalis",NA,110,0.900271985494107
"Empidonax_fulvifrons_22699880.shp","Empidonax_fulvifrons","Empidonax fulvifrons",4700,"Buff-breasted Flycatcher","Tyrannidae","Empidonax","fulvifrons","Empidonax fulvifrons",NA,NA,"Empidonax_fulvifrons",NA,3,0.958904109589041
"Sayornis_nigricans_22699892.shp","Sayornis_nigricans","Sayornis nigricans",4580,"Black Phoebe","Tyrannidae","Sayornis","nigricans","Sayornis nigricans",NA,NA,"Sayornis_nigricans",NA,59,0.967986977753662
"Sayornis_phoebe_22699886.shp","Sayornis_phoebe","Sayornis phoebe",4560,"Eastern Phoebe","Tyrannidae","Sayornis","phoebe","Sayornis phoebe",NA,NA,"Sayornis_phoebe",NA,467,0.678596008258775
"Sayornis_saya_22699889.shp","Sayornis_saya","Sayornis saya",4570,"Say's Phoebe","Tyrannidae","Sayornis","saya","Sayornis saya",NA,NA,"Sayornis_saya",NA,75,0.930619796484736
"Pyrocephalus_rubinus_22699895.shp","Pyrocephalus_rubinus","Pyrocephalus rubinus",4710,"Vermilion Flycatcher","Tyrannidae","Pyrocephalus","rubinus","Pyrocephalus rubinus",NA,NA,"Pyrocephalus_rubinus",NA,20,0.971139971139971
"Myiarchus_tuberculifer_22700399.shp","Myiarchus_tuberculifer","Myiarchus tuberculifer",4550,"Dusky-capped Flycatcher","Tyrannidae","Myiarchus","tuberculifer","Myiarchus tuberculifer",NA,NA,"Myiarchus_tuberculifer",NA,9,0.997927699746719
"Myiarchus_cinerascens_22700427.shp","Myiarchus_cinerascens","Myiarchus cinerascens",4540,"Ash-throated Flycatcher","Tyrannidae","Myiarchus","cinerascens","Myiarchus cinerascens",NA,NA,"Myiarchus_cinerascens",NA,47,0.873315363881402
"Myiarchus_crinitus_22700433.shp","Myiarchus_crinitus","Myiarchus crinitus",4520,"Great Crested Flycatcher","Tyrannidae","Myiarchus","crinitus","Myiarchus crinitus",NA,NA,"Myiarchus_crinitus",NA,281,0.491862567811935
"Myiarchus_tyrannulus_22700436.shp","Myiarchus_tyrannulus","Myiarchus tyrannulus",4530,"Brown-crested Flycatcher","Tyrannidae","Myiarchus","tyrannulus","Myiarchus tyrannulus",NA,NA,"Myiarchus_tyrannulus",NA,31,0.994768815389808
"Pitangus_sulphuratus_22700605.shp","Pitangus_sulphuratus","Pitangus sulphuratus",4490,"Great Kiskadee","Tyrannidae","Pitangus","sulphuratus","Pitangus sulphuratus",NA,NA,"Pitangus_sulphuratus",NA,2,0.998544395924309
"Myiodynastes_luteiventris_22700580.shp","Myiodynastes_luteiventris","Myiodynastes luteiventris",4510,"Sulphur-bellied Flycatcher","Tyrannidae","Myiodynastes","luteiventris","Myiodynastes luteiventris",NA,NA,"Myiodynastes_luteiventris",NA,2,0.991071428571429
"Tyrannus_melancholicus_22700485.shp","Tyrannus_melancholicus","Tyrannus melancholicus",4460,"Tropical Kingbird","Tyrannidae","Tyrannus","melancholicus","Tyrannus melancholicus",NA,NA,"Tyrannus_melancholicus",NA,1,0.999620493358634
"Tyrannus_couchii_22700488.shp","Tyrannus_couchii","Tyrannus couchii",4461,"Couch's Kingbird","Tyrannidae","Tyrannus","couchii","Tyrannus couchii",NA,NA,"Tyrannus_couchii",NA,10,0.814814814814815
"Tyrannus_vociferans_22700491.shp","Tyrannus_vociferans","Tyrannus vociferans",4480,"Cassin's Kingbird","Tyrannidae","Tyrannus","vociferans","Tyrannus vociferans",NA,NA,"Tyrannus_vociferans",NA,25,0.932249322493225
"Tyrannus_crassirostris_22700494.shp","Tyrannus_crassirostris","Tyrannus crassirostris",4451,"Thick-billed Kingbird","Tyrannidae","Tyrannus","crassirostris","Tyrannus crassirostris",NA,NA,"Tyrannus_crassirostris",NA,2,0.974683544303797
"Tyrannus_verticalis_22700497.shp","Tyrannus_verticalis","Tyrannus verticalis",4470,"Western Kingbird","Tyrannidae","Tyrannus","verticalis","Tyrannus verticalis",NA,NA,"Tyrannus_verticalis",NA,103,0.811009174311927
"Tyrannus_tyrannus_22700506.shp","Tyrannus_tyrannus","Tyrannus tyrannus",4440,"Eastern Kingbird","Tyrannidae","Tyrannus","tyrannus","Tyrannus tyrannus",NA,NA,"Tyrannus_tyrannus",NA,320,0.700654817586529
"Tyrannus_dominicensis_22700509.shp","Tyrannus_dominicensis","Tyrannus dominicensis",4450,"Gray Kingbird","Tyrannidae","Tyrannus","dominicensis","Tyrannus dominicensis",NA,NA,"Tyrannus_dominicensis",NA,5,0.98015873015873
"Tyrannus_forficatus_22700500.shp","Tyrannus_forficatus","Tyrannus forficatus",4430,"Scissor-tailed Flycatcher","Tyrannidae","Tyrannus","forficatus","Tyrannus forficatus",NA,NA,"Tyrannus_forficatus",NA,69,0.507142857142857
"Tyrannus_savana_22700503.shp","Tyrannus_savana","Tyrannus savana",4420,"Fork-tailed Flycatcher","Tyrannidae","Tyrannus","savana","Tyrannus savana",NA,NA,"Tyrannus_savana",NA,0,1
"Lanius_ludovicianus_22705042.shp","Lanius_ludovicianus","Lanius ludovicianus",6220,"Loggerhead Shrike","Laniidae","Lanius","ludovicianus","Lanius ludovicianus",NA,NA,"Lanius_ludovicianus",NA,442,0.692628650904033
"Lanius_excubitor_22730627.shp","Lanius_excubitor","Lanius excubitor",6210,"Northern Shrike","Laniidae","Lanius","excubitor","Lanius excubitor",NA,NA,"Lanius_excubitor",NA,0,1
"Vireo_atricapilla_22705159.shp","Vireo_atricapilla","Vireo atricapilla",6300,"Black-capped Vireo","Vireonidae","Vireo","atricapilla","Vireo atricapilla",NA,NA,"Vireo_atricapilla",NA,12,0.538461538461538
"Vireo_griseus_22705188.shp","Vireo_griseus","Vireo griseus",6310,"White-eyed Vireo","Vireonidae","Vireo","griseus","Vireo griseus",NA,NA,"Vireo_griseus",NA,535,0.365361803084223
"Vireo_bellii_22705156.shp","Vireo_bellii","Vireo bellii",6330,"Bell's Vireo","Vireonidae","Vireo","bellii","Vireo bellii",NA,NA,"Vireo_bellii",NA,215,0.599627560521415
"Vireo_vicinior_22705209.shp","Vireo_vicinior","Vireo vicinior",6340,"Gray Vireo","Vireonidae","Vireo","vicinior","Vireo vicinior",NA,NA,"Vireo_vicinior",NA,5,0.909090909090909
"Vireo_huttoni_22705182.shp","Vireo_huttoni","Vireo huttoni",6320,"Hutton's Vireo","Vireonidae","Vireo","huttoni","Vireo huttoni",NA,NA,"Vireo_huttoni",NA,9,0.923728813559322
"Vireo_flavifrons_22705237.shp","Vireo_flavifrons","Vireo flavifrons",6280,"Yellow-throated Vireo","Vireonidae","Vireo","flavifrons","Vireo flavifrons",NA,NA,"Vireo_flavifrons",NA,217,0.336391437308869
"Vireo_cassinii_22705231.shp","Vireo_cassinii","Vireo cassinii",6291,"Cassin's Vireo","Vireonidae","Vireo","cassinii","Vireo cassinii",NA,NA,"Vireo_cassinii",NA,20,0.933774834437086
"Vireo_solitarius_22705234.shp","Vireo_solitarius","Vireo solitarius",6290,"Blue-headed Vireo","Vireonidae","Vireo","solitarius","Vireo solitarius",NA,NA,"Vireo_solitarius",NA,60,0.861431870669746
"Vireo_plumbeus_22705228.shp","Vireo_plumbeus","Vireo plumbeus",6292,"Plumbeous Vireo","Vireonidae","Vireo","plumbeus","Vireo plumbeus",NA,NA,"Vireo_plumbeus",NA,32,0.854545454545454
"Vireo_philadelphicus_22705240.shp","Vireo_philadelphicus","Vireo philadelphicus",6260,"Philadelphia Vireo","Vireonidae","Vireo","philadelphicus","Vireo philadelphicus",NA,NA,"Vireo_philadelphicus",NA,24,0.932773109243697
"Vireo_gilvus_22735122.shp","Vireo_gilvus","Vireo gilvus",6270,"Warbling Vireo","Vireonidae","Vireo","gilvus","Vireo gilvus",NA,NA,"Vireo_gilvus",NA,283,0.720907297830375
"Vireo_olivaceus_22705243.shp","Vireo_olivaceus","Vireo olivaceus",6240,"Red-eyed Vireo","Vireonidae","Vireo","olivaceus","Vireo olivaceus",NA,NA,"Vireo_olivaceus",NA,652,0.749519784863619
"Vireo_altiloquus_22705254.shp","Vireo_altiloquus","Vireo altiloquus",6230,"Black-whiskered Vireo","Vireonidae","Vireo","altiloquus","Vireo altiloquus",NA,NA,"Vireo_altiloquus",NA,0,1
"Perisoreus_canadensis_22705783.shp","Perisoreus_canadensis","Perisoreus canadensis",4840,"Gray Jay","Corvidae","Perisoreus","canadensis","Perisoreus canadensis",NA,NA,"Perisoreus_canadensis",NA,39,0.981222917669716
"Cyanocorax_yncas_22705738.shp","Cyanocorax_yncas","Cyanocorax yncas",4830,"Green Jay","Corvidae","Cyanocorax","yncas","Cyanocorax yncas",NA,NA,"Cyanocorax_yncas",NA,4,0.972602739726027
"Gymnorhinus_cyanocephalus_22705608.shp","Gymnorhinus_cyanocephalus","Gymnorhinus cyanocephalus",4920,"Pinyon Jay","Corvidae","Gymnorhinus","cyanocephalus","Gymnorhinus cyanocephalus",NA,NA,"Gymnorhinus_cyanocephalus",NA,16,0.880597014925373
"Cyanocitta_stelleri_22705614.shp","Cyanocitta_stelleri","Cyanocitta stelleri",4780,"Steller's Jay","Corvidae","Cyanocitta","stelleri","Cyanocitta stelleri",NA,NA,"Cyanocitta_stelleri",NA,33,0.914285714285714
"Cyanocitta_cristata_22705611.shp","Cyanocitta_cristata","Cyanocitta cristata",4770,"Blue Jay","Corvidae","Cyanocitta","cristata","Cyanocitta cristata",NA,NA,"Cyanocitta_cristata",NA,312,0.665236051502146
"Aphelocoma_coerulescens_22705629.shp","Aphelocoma_coerulescens","Aphelocoma coerulescens",4790,"Florida Scrub-Jay","Corvidae","Aphelocoma","coerulescens","Aphelocoma coerulescens",NA,NA,"Aphelocoma_coerulescens",NA,1,0
