"","aou","max_lat_t1","max_lon_t1","min_lat_t1","min_lon_t1","total_cells_t1","area_t1","outlier_t1","outlier_denom_t1","max_lat_t2","max_lon_t2","min_lat_t2","min_lon_t2","total_cells_t2","area_t2","outlier_t2","outlier_denom_t2","file","spp_name","file_binomial","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","overlap_cells","delta_area","delta_occ"
"50",7020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreoscoptes_montanus_22711096.shp","Oreoscoptes_montanus","Oreoscoptes montanus","Sage Thrasher","Mimidae","Oreoscoptes","montanus","Oreoscoptes montanus",NA,NA,"Oreoscoptes_montanus","sagthr",0.814488740326438,150,NA,NA
"51",4020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphyrapicus_varius_22680868.shp","Sphyrapicus_varius","Sphyrapicus varius","Yellow-bellied Sapsucker","Picidae","Sphyrapicus","varius","Sphyrapicus varius",NA,NA,"Sphyrapicus_varius",NA,0.574443459086622,772,NA,NA
"52",7222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Troglodytes_hiemalis_22714246.shp","Troglodytes_hiemalis","Troglodytes hiemalis","Winter Wren","Troglodytidae","Troglodytes","hiemalis","Troglodytes hiemalis",NA,NA,"Troglodytes_hiemalis","winwre3",0.813030535670219,1023,NA,NA
"53",5450,50,-99,47,-106,6,71367668860.99,71367668860.99,897280096298.623,NA,NA,NA,NA,NA,NA,NA,NA,"Ammodramus_bairdii_22721141.shp","Ammodramus_bairdii","Ammodramus bairdii","Baird's Sparrow","Emberizidae","Ammodramus","bairdii","Ammodramus bairdii",NA,NA,"Ammodramus_bairdii","baispa",0.839828680719202,39,NA,NA
"54",5470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ammodramus_henslowii_22721138.shp","Ammodramus_henslowii","Ammodramus henslowii","Henslow's Sparrow","Emberizidae","Ammodramus","henslowii","Ammodramus henslowii",NA,NA,"Ammodramus_henslowii","henspa",0.990276817115517,178,NA,NA
"55",6420,47,-76,35,-93,14,687047675952.396,0.00079345703125,1394730293962.68,NA,NA,NA,NA,NA,NA,NA,NA,"Vermivora_chrysoptera_22721618.shp","Vermivora_chrysoptera","Vermivora chrysoptera","Golden-winged Warbler","Parulidae","Vermivora","chrysoptera","Vermivora chrysoptera",NA,NA,"Vermivora_chrysoptera","gowwar",0.691819270182911,515,NA,NA
"56",4630,48,-62,45,-93,7,361042422720.382,0.0091530536301434,2134411917694.96,NA,NA,NA,NA,NA,NA,NA,NA,"Empidonax_flaviventris_22699839.shp","Empidonax_flaviventris","Empidonax flaviventris","Yellow-bellied Flycatcher","Tyrannidae","Empidonax","flaviventris","Empidonax flaviventris",NA,NA,"Empidonax_flaviventris",NA,0.529972788749994,735,NA,NA
"57",4910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nucifraga_columbiana_22705909.shp","Nucifraga_columbiana","Nucifraga columbiana","Clark's Nutcracker","Corvidae","Nucifraga","columbiana","Nucifraga columbiana",NA,NA,"Nucifraga_columbiana",NA,0.992113713091499,58,NA,NA
"58",4920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gymnorhinus_cyanocephalus_22705608.shp","Gymnorhinus_cyanocephalus","Gymnorhinus cyanocephalus","Pinyon Jay","Corvidae","Gymnorhinus","cyanocephalus","Gymnorhinus cyanocephalus",NA,NA,"Gymnorhinus_cyanocephalus",NA,0.995529478612458,16,NA,NA
"59",5090,48,-62,45,-71,4,133087436318.27,0.000729689374566078,1456048927793.89,NA,NA,NA,NA,NA,NA,NA,NA,"Euphagus_carolinus_22724329.shp","Euphagus_carolinus","Euphagus carolinus","Rusty Blackbird","Icteridae","Euphagus","carolinus","Euphagus carolinus",NA,NA,"Euphagus_carolinus","rusbla",0.525149604533012,451,NA,NA
"60",5800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aimophila_ruficeps_22721288.shp","Aimophila_ruficeps","Aimophila ruficeps","Rufous-crowned Sparrow","Emberizidae","Aimophila","ruficeps","Aimophila ruficeps",NA,NA,"Aimophila_ruficeps","rucspa",0.514670710346822,18,NA,NA
"61",7320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baeolophus_atricristatus_22711989.shp","Baeolophus_atricristatus","Baeolophus atricristatus","Black-crested Titmouse","Paridae","Baeolophus","atricristatus","Baeolophus atricristatus",NA,NA,"Baeolophus_atricristatus","blctit4",0.61064109710238,15,NA,NA
