"file","spp_name","file_binomial","aou","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","climate_vol","ssi","shannonE_diet","mean_area","mean_occ","sd_area","sd_occ","Trend","ci95","area_wt","occ_wt","trend_wt","phylo_name"
"Bombycilla_cedrorum_22708153.shp","Bombycilla_cedrorum","Bombycilla cedrorum",6190,"Cedar Waxwing","Bombycillidae","Bombycilla","cedrorum","Bombycilla cedrorum",NA,NA,"Bombycilla_cedrorum","cedwax",0.987321255466881,-1.02806044782597,0.348225372857224,0.224401563815764,0.0901374407582938,0.207380558452916,0.00497481965102271,0.153,0.727,0.406465894567715,0.00975064651600452,0.727,"Bombycilla_cedrorum"
"Carpodacus_mexicanus_22720563.shp","Carpodacus_mexicanus","Carpodacus mexicanus",5190,"House Finch","Fringillidae","Haemorhous","mexicanus","Haemorhous mexicanus","Carpodacus","Carpodacus mexicanus","Carpodacus_mexicanus","houfin",2.4170801622802,-1.36493540511458,0.570590870752304,1.85272620755868,0.226216981132075,0.399251091462194,0.0058353611858403,0.08,0.742,0.7825321392659,0.011437307924247,0.742,"Carpodacus_mexicanus"
"Carpodacus_purpureus_22720553.shp","Carpodacus_purpureus","Carpodacus purpureus",5170,"Purple Finch","Fringillidae","Haemorhous","purpureus","Haemorhous purpureus","Carpodacus","Carpodacus purpureus","Carpodacus_purpureus","purfin",0.817898502712286,-1.30103046478294,0.638764005203223,-0.0649840453177719,-0.016202713631054,0.0533801458580316,0.00394745093253514,-1.136,0.966,0.104625085881742,0.00773700382776887,0.966,"Carpodacus_purpureus"
"Carpodacus_cassinii_22720560.shp","Carpodacus_cassinii","Carpodacus cassinii",5180,"Cassin's Finch","Fringillidae","Haemorhous","cassinii","Haemorhous cassinii","Carpodacus","Carpodacus cassinii","Carpodacus_cassinii","casfin",0.68809931824266,-1.66488463072064,0.458146007804834,-0.166981468675751,0,3.77950056894287e-05,2.31062468577417e-05,-1.941,1.608,7.40782111512802e-05,4.52882438411736e-05,1.608,"Carpodacus_cassinii"
"Carduelis_pinus_22720359.shp","Carduelis_pinus","Carduelis pinus",5330,"Pine Siskin","Fringillidae","Spinus","pinus","Spinus pinus","Carduelis","Carduelis pinus","Carduelis_pinus","pinsis",1.69515853245487,-0.945446925234791,0.40843137199002,0.00672943504208181,-0.00490632140137091,0.104207374046128,0.00104605177994588,-3.321,2.194,0.204246453130411,0.00205026148869393,2.194,"Carduelis_pinus"
"Carduelis_psaltria_22720410.shp","Carduelis_psaltria","Carduelis psaltria",5300,"Lesser Goldfinch","Fringillidae","Spinus","psaltria","Spinus psaltria","Carduelis","Carduelis psaltria","Carduelis_psaltria","lesgol",3.1725713048586,-1.50499859452376,0.570590870752304,0.56109093427892,0.0406289308176101,0.0407933988822986,0.00556155498643694,0.782,1.265,0.0799550618093053,0.0109006477734164,1.265,"Carduelis_psaltria"
"Carduelis_tristis_22720407.shp","Carduelis_tristis","Carduelis tristis",5290,"American Goldfinch","Fringillidae","Spinus","tristis","Spinus tristis","Carduelis","Carduelis tristis","Carduelis_tristis","amegfi",1.21840206001428,-1.32645803724581,0.472903250637018,0.0289365301027699,0.00560885608856089,0.0240881485837178,0.00303886673465167,-0.195,0.323,0.0472127712240868,0.00595617879991727,0.323,"Carduelis_tristis"
"Coccothraustes_vespertinus_22720702.shp","Coccothraustes_vespertinus","Coccothraustes vespertinus",5140,"Evening Grosbeak","Fringillidae","Coccothraustes","vespertinus","Coccothraustes vespertinus",NA,NA,"Coccothraustes_vespertinus","evegro",1.28414344498691,-1.29740449730011,0.55583362792012,0.230290084773689,-0.0244990757855823,0.190019719386493,0.00309471934646381,-4.811,2.561,0.372438649997527,0.00606564991906906,2.561,"Coccothraustes_vespertinus"
"Calcarius_ornatus_22721040.shp","Calcarius_ornatus","Calcarius ornatus",5380,"Chestnut-collared Longspur","Calcariidae","Calcarius","ornatus","Calcarius ornatus",NA,NA,"Calcarius_ornatus","chclon",0.125824648445849,-2.53725397909234,0.292285253238629,-0.448874118729342,-0.009765,0.070471340321541,0.00250895690067783,-4.308,1.612,0.13812382703022,0.00491755552532855,1.612,"Calcarius_ornatus"
"Helmitheros_vermivorum_22721768.shp","Helmitheros_vermivorum","Helmitheros vermivorum",6390,"Worm-eating Warbler","Parulidae","Helmitheros","vermivorum","Helmitheros vermivorum",NA,NA,"Helmitheros_vermivorum","woewar1",0.224259667564358,-2.07995500978475,0,-0.126140885139161,0.00572769953051643,0.225983707312343,0.00907031890520684,0.292,1.076,0.442928066332192,0.0177778250542054,1.076,"Helmitheros_vermivorum"
"Parkesia_motacilla_22721803.shp","Parkesia_motacilla","Parkesia motacilla",6760,"Louisiana Waterthrush","Parulidae","Parkesia","motacilla","Parkesia motacilla",NA,NA,"Parkesia_motacilla","louwat",0.245681822271599,-1.91717171636494,0.277528010406445,0.175852341530019,0.00823434125269978,0.193883041539634,0.0138284290039523,0.764,0.737,0.380010761417683,0.0271037208477465,0.737,"Seiurus_motacilla"
